accuracy,balanced_accuracy,mcc,model_name
0.8823529411764706,0.7666666666666666,0.7896115045546132,KNeighborsUnif
0.8823529411764706,0.7666666666666666,0.7896115045546132,KNeighborsDist
0.8823529411764706,0.9333333333333332,0.8190653548744176,NeuralNetFastAI
0.8235294117647058,0.6000000000000002,0.6821910402406466,LightGBMXT
0.8235294117647058,0.6000000000000002,0.6821910402406466,LightGBM
0.8235294117647058,0.6000000000000002,0.6821910402406466,RandomForestGini
0.8235294117647058,0.6000000000000002,0.6821910402406466,RandomForestEntr
0.8235294117647058,0.6000000000000002,0.6821910402406466,CatBoost
0.8235294117647058,0.6000000000000002,0.6821910402406466,ExtraTreesGini
0.8235294117647058,0.6000000000000002,0.6821910402406466,ExtraTreesEntr
0.8235294117647058,0.6000000000000002,0.6821910402406466,XGBoost
0.8235294117647058,0.6000000000000002,0.6821910402406466,NeuralNetTorch
0.8235294117647058,0.6000000000000002,0.6821910402406466,LightGBMLarge
0.8823529411764706,0.9333333333333332,0.8190653548744176,WeightedEnsemble_L2
