,MASE,RMSE,MAPE,SMAPE,MAE,RMSSE,WAPE,WQL,SQL,model_name
0,-0.01041107041107045,-0.01041107041107045,-0.18198634035287506,-0.16680795565699452,-0.01041107041107045,-0.01041107041107045,-0.18198634035287506,-0.6445714580125735,-0.03687462927889592,SeasonalNaive
1,-0.17125852233465838,-0.17125852233465838,-2.9936126165072285,-1.1989767114138319,-0.17125852233465838,-0.17125852233465838,-2.9936126165072285,-2.0449676464966524,-0.11698846251183118,RecursiveTabular
2,-0.11940831896416487,-0.11940831896416487,-2.0872669301006925,-1.0213509251030353,-0.11940831896416487,-0.11940831896416487,-2.0872669301006925,-1.8192502082106625,-0.10407562444692328,DirectTabular
3,-0.032978000310581346,-0.032978000310581346,-0.5764580731580708,-0.44748104319158,-0.032978000310581346,-0.032978000310581346,-0.5764580731580708,-0.40181120774317536,-0.022986806414481347,CrostonSBA
4,-0.14302240674740666,-0.14302240674740666,-2.5000430661523794,-1.111119617923996,-0.14302240674740666,-0.14302240674740666,-2.5000430661523794,-2.3450137192542595,-0.13415349140349148,NPTS
5,-0.0020899904941731884,-0.0020899904941731884,-0.03653320037125447,-0.035877834316272936,-0.0020899904941731884,-0.0020899904941731884,-0.03653320037125447,-0.29581596529852955,-0.016923033000554043,DynamicOptimizedTheta
6,-0.010485080295729476,-0.010485080295729476,-0.18328003903391682,-0.16789421032312163,-0.010485080295729476,-0.010485080295729476,-0.18328003903391682,-0.1466487026673098,-0.008389475639770877,AutoETS
7,-0.010659795979044415,-0.010659795979044415,-0.18633408309983032,-0.1704534403412327,-0.010659795979044415,-0.010659795979044415,-0.18633408309983032,-0.2759925250734118,-0.015788974083971802,AutoARIMA
8,-0.1274750327741319,-0.1274750327741319,-2.228273730264957,-1.0539874532320435,-0.1274750327741319,-0.1274750327741319,-2.228273730264957,-2.098143900547966,-0.12003056844160431,Chronos[base]
9,-0.15713382717720809,-0.15713382717720809,-2.746711819681279,-1.1573113869237206,-0.15713382717720809,-0.15713382717720809,-2.746711819681279,-2.5896016746403245,-0.14814587358056314,TemporalFusionTransformer
10,-0.1831970458900148,-0.1831970458900148,-3.202298959531636,-1.2311091632534472,-0.1831970458900148,-0.1831970458900148,-3.202298959531636,-3.1108510590110203,-0.17796549648131407,DeepAR
11,-0.12947886642567458,-0.12947886642567458,-2.263300902161943,-1.061759868281505,-0.12947886642567458,-0.12947886642567458,-2.263300902161943,-2.2019550262753733,-0.12596939295615234,PatchTST
12,-0.17204173503163936,-0.17204173503163936,-3.007303236857842,-1.2011668135940456,-0.17204173503163936,-0.17204173503163936,-3.007303236857842,-2.809951360428796,-0.16075163338293497,WeightedEnsemble
