model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI,0.9529411764705882,0.9,accuracy,0.008838176727294922,0.004922151565551758,1.9238109588623047,0.008838176727294922,0.004922151565551758,1.9238109588623047,1,True,3
CatBoost,0.9411764705882353,0.95,accuracy,0.005359172821044922,0.0008797645568847656,1.2149572372436523,0.005359172821044922,0.0008797645568847656,1.2149572372436523,1,True,8
XGBoost,0.9411764705882353,0.94,accuracy,0.019136667251586914,0.00217437744140625,0.3318641185760498,0.019136667251586914,0.00217437744140625,0.3318641185760498,1,True,11
LightGBM,0.9294117647058824,0.96,accuracy,0.0021352767944335938,0.0007123947143554688,0.48563170433044434,0.0021352767944335938,0.0007123947143554688,0.48563170433044434,1,True,5
LightGBMXT,0.9294117647058824,0.95,accuracy,0.0032646656036376953,0.0009758472442626953,0.4984164237976074,0.0032646656036376953,0.0009758472442626953,0.4984164237976074,1,True,4
WeightedEnsemble_L2,0.9294117647058824,0.96,accuracy,0.0036773681640625,0.0012106895446777344,0.5893137454986572,0.0015420913696289062,0.0004982948303222656,0.10368204116821289,2,True,14
LightGBMLarge,0.9294117647058824,0.93,accuracy,0.004692792892456055,0.0009365081787109375,1.7627482414245605,0.004692792892456055,0.0009365081787109375,1.7627482414245605,1,True,13
RandomForestGini,0.9294117647058824,0.94,accuracy,0.04870462417602539,0.07814311981201172,0.9055459499359131,0.04870462417602539,0.07814311981201172,0.9055459499359131,1,True,6
RandomForestEntr,0.9294117647058824,0.93,accuracy,0.07275724411010742,0.07944512367248535,0.8511357307434082,0.07275724411010742,0.07944512367248535,0.8511357307434082,1,True,7
NeuralNetTorch,0.9058823529411765,0.94,accuracy,0.010147571563720703,0.006915092468261719,2.579988718032837,0.010147571563720703,0.006915092468261719,2.579988718032837,1,True,12
ExtraTreesGini,0.9058823529411765,0.91,accuracy,0.06519460678100586,0.07133078575134277,0.8638894557952881,0.06519460678100586,0.07133078575134277,0.8638894557952881,1,True,9
ExtraTreesEntr,0.9058823529411765,0.89,accuracy,0.07049274444580078,0.08042001724243164,0.8001823425292969,0.07049274444580078,0.08042001724243164,0.8001823425292969,1,True,10
KNeighborsUnif,0.8941176470588236,0.84,accuracy,0.002546072006225586,0.11214160919189453,0.021823883056640625,0.002546072006225586,0.11214160919189453,0.021823883056640625,1,True,1
KNeighborsDist,0.8941176470588236,0.88,accuracy,0.0033388137817382812,0.017259597778320312,0.04681992530822754,0.0033388137817382812,0.017259597778320312,0.04681992530822754,1,True,2
