,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
0,PatchTST,-0.17244550226681793,-0.14304915017479672,0.036543846130371094,0.01756739616394043,18.71126437187195,12
1,CrostonSBA,-0.18083956487181652,-0.16678430017431978,8.020293951034546,7.098336458206177,0.0285036563873291,4
2,WeightedEnsemble,-0.1888015728577402,-0.12033689007616702,14.228186130523682,11.285061597824097,1.040625810623169,13
3,DynamicOptimizedTheta,-0.2119780468532063,-0.15462667205790911,18.447326183319092,17.756110191345215,0.04644036293029785,6
4,AutoETS,-0.2250706424944172,-0.15521605737822042,18.62538766860962,16.636229991912842,0.0471036434173584,7
5,AutoARIMA,-0.2396509773185548,-0.2309786592694123,11.982013702392578,9.20101261138916,0.045578718185424805,8
6,Chronos[base],-0.2401720750665974,-0.15526388094098714,1.8072168827056885,3.6244359016418457,0.017332792282104492,9
7,DirectTabular,-0.25752651828193884,-0.14086775021240122,0.06474184989929199,0.05753755569458008,1.6651546955108643,3
8,TemporalFusionTransformer,-0.2809899553136389,-0.16023891057827702,0.0979771614074707,0.03736162185668945,48.38234233856201,10
9,SeasonalNaive,-0.3012619256642101,-0.20002594248093836,1.7939813137054443,1.3080649375915527,0.02419447898864746,1
10,DeepAR,-0.3232405785447962,-0.17302109047525885,0.1038973331451416,0.08684110641479492,16.583776712417603,11
11,NPTS,-0.3436175835244286,-0.2211226003676583,1.7787742614746094,0.8766889572143555,0.033908843994140625,5
12,RecursiveTabular,-0.34665813443893995,-0.20703515123078964,0.3610093593597412,1.1322550773620605,2.990140676498413,2
