accuracy,balanced_accuracy,mcc,model_name
0.8941176470588236,0.7818399044205496,0.8205321395857793,KNeighborsUnif
0.8941176470588236,0.7818399044205496,0.8205321395857793,KNeighborsDist
0.9529411764705882,0.9111111111111111,0.9206022712355251,NeuralNetFastAI
0.9294117647058824,0.8074074074074075,0.8816085839342095,LightGBMXT
0.9294117647058824,0.837037037037037,0.8817786190041295,LightGBM
0.9294117647058824,0.8074074074074075,0.8816085839342095,RandomForestGini
0.9294117647058824,0.8074074074074075,0.8816085839342095,RandomForestEntr
0.9411764705882353,0.8444444444444444,0.9008123574434258,CatBoost
0.9058823529411765,0.7925925925925926,0.8442044500935837,ExtraTreesGini
0.9058823529411765,0.7925925925925926,0.8442044500935837,ExtraTreesEntr
0.9411764705882353,0.8444444444444444,0.9008123574434258,XGBoost
0.9058823529411765,0.9044205495818399,0.8442901952268346,NeuralNetTorch
0.9294117647058824,0.8074074074074075,0.8816085839342095,LightGBMLarge
0.9294117647058824,0.837037037037037,0.8817786190041295,WeightedEnsemble_L2
