,MASE,RMSE,MAPE,SMAPE,MAE,RMSSE,WAPE,WQL,SQL,model_name
0,-0.056001404288255126,-0.06627844001636979,-0.39831698597830373,-0.3148757278196953,-0.056001404288255126,-0.06627844001636979,-0.3384515756635921,-0.3012619256642101,-0.04984787221835512,SeasonalNaive
1,-0.07550665386557016,-0.09085194214092196,-0.5382635046383791,-0.6601756254612833,-0.07550665386557016,-0.09085194214092196,-0.4563340205246829,-0.34665813443893995,-0.05735929075958414,RecursiveTabular
2,-0.05130502337972541,-0.05881297662074882,-0.47609900280688977,-0.3324296228991823,-0.05130502337972541,-0.05881297662074882,-0.31006840315908313,-0.25752651828193884,-0.042611255796274804,DirectTabular
3,-0.03997263162213697,-0.04774648402167679,-0.3664759214903214,-0.27300065340780705,-0.03997263162213697,-0.04774648402167679,-0.2415796590795475,-0.18083956487181652,-0.02992235909625327,CrostonSBA
4,-0.05921946433278625,-0.07329613656363079,-0.6015459734522522,-0.3617507534558369,-0.05921946433278625,-0.07329613656363079,-0.3579003288956611,-0.3436175835244286,-0.056856190365713266,NPTS
5,-0.04456055745964523,-0.05477853093729336,-0.3495622787579715,-0.2726384166070354,-0.04456055745964523,-0.05477853093729336,-0.269307369633728,-0.2119780468532063,-0.03507464333349856,DynamicOptimizedTheta
6,-0.04676683797550731,-0.05677268016805862,-0.36542170795239987,-0.2850118338395685,-0.04676683797550731,-0.05677268016805862,-0.28264130520980446,-0.2250706424944172,-0.03724099088336157,AutoETS
7,-0.04520171739593578,-0.05459263703141336,-0.3910211650410747,-0.2886059626310894,-0.04520171739593578,-0.05459263703141336,-0.2731823008688973,-0.2396509773185548,-0.039653505062217834,AutoARIMA
8,-0.04728461657749543,-0.056957679565925144,-0.4305897550587116,-0.30792129325575307,-0.04728461657749543,-0.056957679565925144,-0.2857705657330895,-0.2401720750665974,-0.03973972775332102,Chronos[base]
9,-0.055873217406311425,-0.06473737658260051,-0.4809848217802429,-0.34323616080002045,-0.055873217406311425,-0.06473737658260051,-0.3376768620162354,-0.2809899553136389,-0.04649359973462983,TemporalFusionTransformer
10,-0.06394341649144485,-0.073621688847878,-0.5103311545108082,-0.36726228800309885,-0.06394341649144485,-0.073621688847878,-0.3864501317403863,-0.3232405785447962,-0.053484538477815334,DeepAR
11,-0.03464974769528232,-0.04363966288337491,-0.3414862819209102,-0.24824102415306418,-0.03464974769528232,-0.04363966288337491,-0.20941013627891678,-0.17244550226681793,-0.028533447572819587,PatchTST
12,-0.03685513924095688,-0.04634601137169964,-0.3409929319096892,-0.24816843730428226,-0.03685513924095688,-0.04634601137169964,-0.22273869925113599,-0.1888015728577402,-0.031239781322141263,WeightedEnsemble
