,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
0,CrostonSBA,-0.14650225885875606,-0.20257786883812257,7.919184923171997,7.145403861999512,0.02043747901916504,4
1,Chronos[base],-0.1737266546218553,-0.20494027351290192,2.0723204612731934,3.6388139724731445,0.01124119758605957,9
2,DynamicOptimizedTheta,-0.1854827158483217,-0.15556257079197655,18.304033279418945,17.74332618713379,0.0329585075378418,6
3,WeightedEnsemble,-0.19036571741364522,-0.13368028957199835,13.452819347381592,11.736757755279541,1.0477814674377441,13
4,AutoETS,-0.2042668158331455,-0.1668587424656842,18.366494178771973,17.211328506469727,0.0327763557434082,7
5,AutoARIMA,-0.21150561305275278,-0.15373805230968007,11.608924388885498,10.89331316947937,0.03246712684631348,8
6,NPTS,-0.2708003451825239,-0.22219682507872263,1.841322898864746,0.8434445858001709,0.024929523468017578,5
7,SeasonalNaive,-0.2708863212092952,-0.20769583047087775,1.7182855606079102,1.234044075012207,0.02035236358642578,1
8,DirectTabular,-0.29102873324385414,-0.2807904467806963,0.06811809539794922,0.04994082450866699,1.0417125225067139,3
9,TemporalFusionTransformer,-0.29110300085738383,-0.28948440472478487,0.09471297264099121,0.030021190643310547,47.73336172103882,10
10,RecursiveTabular,-0.2985807649437942,-0.23522620449906023,0.32344794273376465,1.0575189590454102,2.6515493392944336,2
11,DeepAR,-0.30784250882147823,-0.30236091734708215,0.09780669212341309,0.07896256446838379,17.13862943649292,11
12,PatchTST,-0.43000180119709813,-0.4180705382501984,0.03786349296569824,0.013518333435058594,16.314608097076416,12
