,MASE,RMSE,MAPE,SMAPE,MAE,RMSSE,WAPE,WQL,SQL,model_name
0,-0.03953968253968257,-0.0513211921798119,-0.5453809981931713,-0.42868514557381987,-0.03953968253968257,-0.0513211921798119,-0.44829930612489804,-0.47884988532472783,-0.042234222072670725,SeasonalNaive
1,-0.034850596418575276,-0.05279832054070369,-0.4073687636793284,-0.38413287120031553,-0.034850596418575276,-0.05279832054070369,-0.3951346391515965,-0.5744359909780925,-0.05066484915841873,RecursiveTabular
2,-0.06606594356027236,-0.06835285876885486,-1.07563356384244,-0.6407693622582101,-0.06606594356027236,-0.06835285876885486,-0.7490529704388098,-0.5459378998717253,-0.04815133762731058,DirectTabular
3,-0.05463297796375543,-0.05844398165886731,-0.8513755730884179,-0.5617279860910026,-0.05463297796375543,-0.05844398165886731,-0.6194264733437849,-0.44358539246566475,-0.039123918680450474,CrostonSBA
4,-0.06352036839227908,-0.08680752734410482,-1.2964912593477387,-0.5633507174785165,-0.06352036839227908,-0.08680752734410482,-0.7201913431266822,-0.6834671888954903,-0.060281323896780536,NPTS
5,-0.04409827919927229,-0.052664844566090725,-0.6453229517773079,-0.4728378439240515,-0.04409827919927229,-0.052664844566090725,-0.49998448891174385,-0.41107439629007925,-0.03625647175321087,DynamicOptimizedTheta
6,-0.044129580137375335,-0.05267593369333741,-0.6459351800421896,-0.4731296060568339,-0.044129580137375335,-0.05267593369333741,-0.5003393776698559,-0.4090783412339273,-0.03608042110540998,AutoETS
7,-0.0556037602266905,-0.059459486952825526,-0.8706748547835338,-0.5687888672333822,-0.0556037602266905,-0.059459486952825526,-0.6304331630013302,-0.4768191050202981,-0.04205510868246928,AutoARIMA
8,-0.051258950254589215,-0.05601769935932935,-0.7718062859476879,-0.5356695744163417,-0.051258950254589215,-0.05601769935932935,-0.5811718849477514,-0.49704013962253246,-0.0438385896691062,Chronos[base]
9,-0.04054653527465452,-0.0490795714915268,-0.5838001864056938,-0.43994033587678305,-0.04054653527465452,-0.0490795714915268,-0.4597149613215446,-0.36668168742527907,-0.03234106614894317,TemporalFusionTransformer
10,-0.040519516985883214,-0.04629343339394253,-0.5974963854920478,-0.4408102276619755,-0.040519516985883214,-0.04629343339394253,-0.45940862906668384,-0.4509927657915182,-0.03977724378213056,DeepAR
11,-0.05042373147733003,-0.05603704815293692,-0.7637362067018421,-0.5280611158335905,-0.05042373147733003,-0.05603704815293692,-0.5717022085553828,-0.5024485275809554,-0.04431560567159787,PatchTST
12,-0.042904287515785094,-0.04851000998169899,-0.6384946224701217,-0.4633757680121297,-0.042904287515785094,-0.04851000998169899,-0.4864470599582107,-0.4040292205046016,-0.0356350922190734,WeightedEnsemble
