,model,score_test,score_val,pred_time_test,pred_time_val,fit_time_marginal,fit_order
0,DeepAR,-0.04140043550067471,-0.15930577983239783,0.09621000289916992,0.08258819580078125,16.657262802124023,11
1,CrostonSBA,-0.07008146180046926,-0.1500177727330951,8.097161293029785,7.13671088218689,0.020265579223632812,4
2,TemporalFusionTransformer,-0.09004588690068968,-0.13435115342943202,0.09211492538452148,0.029508590698242188,67.77195811271667,10
3,PatchTST,-0.10801226827833363,-0.26542452784222825,0.03618597984313965,0.013623952865600586,17.53381609916687,12
4,AutoARIMA,-0.12933538472663664,-0.1234613663835503,12.20449686050415,11.21816372871399,0.03235507011413574,8
5,DirectTabular,-0.14161328507794246,-0.13692943122551798,0.1073155403137207,0.08604788780212402,2.1808624267578125,3
6,AutoETS,-0.1520340107649802,-0.12399546627713175,18.355847120285034,17.479339122772217,0.03248119354248047,7
7,WeightedEnsemble,-0.15633873473809473,-0.0965257000596686,16.405606746673584,16.663236141204834,1.0353848934173584,13
8,DynamicOptimizedTheta,-0.1678320925103293,-0.1281652502156264,18.56859278678894,17.845978498458862,0.03265810012817383,6
9,Chronos[base],-0.18965839684009517,-0.12206482918752808,1.9394707679748535,3.5571508407592773,0.011252641677856445,9
10,SeasonalNaive,-0.32667644405490326,-0.17540667608628566,1.8857836723327637,1.2388496398925781,0.018695354461669922,1
11,NPTS,-0.34328692444447334,-0.16371111015269602,1.906270980834961,0.8448846340179443,0.024621009826660156,5
12,RecursiveTabular,-0.4188830178945096,-0.1978402424607554,0.2571439743041992,1.0135283470153809,2.707723617553711,2
