,MASE,RMSE,MAPE,SMAPE,MAE,RMSSE,WAPE,WQL,SQL,model_name
0,-0.008075435203094755,-0.008075435203094755,-0.04845261121856852,-0.04730654832160885,-0.008075435203094755,-0.008075435203094755,-0.04845261121856852,-0.32667644405490326,-0.05444607400915055,SeasonalNaive
1,-0.036964340629356385,-0.036964340629356385,-0.22178604377613825,-0.19964662609833628,-0.036964340629356385,-0.036964340629356385,-0.22178604377613825,-0.4188830178945096,-0.06981383631575161,RecursiveTabular
2,-0.037299027045567784,-0.037299027045567784,-0.22379416227340665,-0.20127237140025556,-0.037299027045567784,-0.037299027045567784,-0.22379416227340665,-0.14161328507794246,-0.02360221417965709,DirectTabular
3,-0.002603580554326329,-0.002603580554326329,-0.015621483325957971,-0.015500413599661686,-0.002603580554326329,-0.002603580554326329,-0.015621483325957971,-0.07008146180046926,-0.011680243633411544,CrostonSBA
4,-0.06278563448288119,-0.06278563448288119,-0.376713806897287,-0.3170039285370022,-0.06278563448288119,-0.06278563448288119,-0.376713806897287,-0.34328692444447334,-0.05721448740741223,NPTS
5,-0.008075421055157933,-0.008075421055157933,-0.048452526330947585,-0.0473064674022322,-0.008075421055157933,-0.008075421055157933,-0.048452526330947585,-0.1678320925103293,-0.02797201541838823,DynamicOptimizedTheta
6,-0.00807541830186076,-0.00807541830186076,-0.04845250981116454,-0.0473064516546992,-0.00807541830186076,-0.00807541830186076,-0.04845250981116454,-0.1520340107649802,-0.02533900179416337,AutoETS
7,-0.012326925054494647,-0.012326925054494647,-0.07396155032696787,-0.07132393589004342,-0.012326925054494647,-0.012326925054494647,-0.07396155032696787,-0.12933538472663664,-0.02155589745443945,AutoARIMA
8,-0.04334079225858048,-0.04334079225858048,-0.2600447535514828,-0.23012354347659963,-0.04334079225858048,-0.04334079225858048,-0.2600447535514828,-0.18965839684009517,-0.031609732806682535,Chronos[base]
9,-0.001029868920644078,-0.001029868920644078,-0.006179213523864467,-0.0061601809870322054,-0.001029868920644078,-0.001029868920644078,-0.006179213523864467,-0.09004588690068968,-0.015007647816781619,TemporalFusionTransformer
10,-0.0027287205060322617,-0.0027287205060322617,-0.016372323036193567,-0.016239384809190998,-0.0027287205060322617,-0.0027287205060322617,-0.016372323036193567,-0.04140043550067471,-0.006900072583445788,DeepAR
11,-0.027537753184636388,-0.027537753184636388,-0.16522651910781827,-0.1526182296861022,-0.027537753184636388,-0.027537753184636388,-0.16522651910781827,-0.10801226827833363,-0.01800204471305561,PatchTST
12,-0.029547539195114852,-0.029547539195114852,-0.17728523517068906,-0.1628498024116631,-0.029547539195114852,-0.029547539195114852,-0.17728523517068906,-0.15633873473809473,-0.026056455789682458,WeightedEnsemble
